iter	Passed	Remaining
0	57	57210
1	57	28686
2	57	19189
3	57	14422
4	58	11570
5	58	9667
6	58	8309
7	58	7297
8	59	6512
9	59	5879
10	59	5361
11	59	4932
12	60	4563
13	60	4250
14	60	3980
15	60	3743
16	61	3532
17	61	3343
18	61	3176
19	61	3026
20	61	2888
21	62	2765
22	62	2648
23	62	2543
24	62	2447
25	62	2358
26	63	2276
27	63	2201
28	63	2129
29	63	2063
30	64	2001
31	64	1942
32	64	1888
33	64	1836
34	64	1787
35	65	1740
36	65	1696
37	65	1656
38	65	1617
39	65	1580
40	66	1545
41	66	1511
42	66	1479
43	66	1448
44	66	1419
45	67	1390
46	67	1364
47	67	1339
48	67	1315
49	68	1293
50	68	1269
51	68	1247
52	68	1226
53	68	1206
54	69	1186
55	69	1166
56	69	1147
57	69	1129
58	69	1112
59	70	1096
60	70	1083
61	70	1067
62	70	1052
63	70	1038
64	71	1024
65	71	1011
66	71	998
67	71	985
68	72	972
69	72	960
70	72	948
71	72	937
72	72	924
73	73	913
74	73	903
75	73	894
76	73	883
77	73	873
78	74	864
79	74	855
80	74	845
81	75	845
82	75	836
83	75	827
84	76	818
85	76	810
86	76	802
87	76	794
88	76	786
89	77	779
90	77	772
91	77	764
92	77	757
93	77	750
94	78	744
95	78	737
96	78	731
97	78	725
98	79	719
99	79	713
100	79	707
101	79	701
102	79	695
103	80	689
104	80	683
105	80	678
106	80	673
107	80	667
108	81	662
109	81	657
110	81	652
111	81	648
112	81	643
113	82	638
114	82	633
115	82	629
116	82	624
117	82	620
118	83	616
119	83	611
120	83	607
121	83	603
122	84	599
123	84	595
124	84	591
125	84	587
126	84	583
127	85	579
128	85	575
129	85	571
130	85	568
131	85	565
132	86	561
133	86	557
134	86	553
135	86	549
136	86	545
137	86	542
138	87	538
139	87	535
140	87	532
141	87	529
142	87	526
143	88	523
144	88	520
145	88	517
146	88	514
147	88	511
148	89	508
149	89	505
150	89	502
151	89	499
152	89	496
153	89	493
154	90	491
155	90	488
156	90	486
157	90	483
158	90	481
159	91	478
160	91	476
161	91	474
162	91	471
163	92	469
164	92	466
165	92	464
166	92	461
167	92	459
168	93	457
169	93	455
170	93	452
171	93	450
172	93	448
173	94	446
174	94	444
175	94	441
176	94	439
177	94	437
178	94	435
179	95	434
180	95	431
181	95	430
182	95	427
183	96	425
184	96	423
185	96	421
186	96	419
187	96	417
188	96	415
189	97	414
190	97	412
191	97	410
192	97	408
193	98	407
194	98	405
195	98	403
196	98	401
197	98	400
198	99	398
199	99	396
200	99	395
201	99	393
202	99	392
203	100	390
204	100	388
205	100	387
206	100	385
207	100	384
208	101	382
209	101	381
210	101	379
211	101	378
212	102	377
213	102	375
214	102	374
215	102	373
216	103	372
217	103	370
218	103	369
219	104	368
220	104	367
221	104	366
222	104	364
223	104	363
224	105	362
225	105	360
226	105	359
227	105	357
228	105	356
229	106	355
230	106	354
231	106	352
232	106	351
233	107	350
234	107	349
235	107	348
236	107	346
237	107	345
238	108	344
239	108	343
240	108	342
241	108	340
242	108	339
243	109	338
244	109	337
245	109	335
246	109	334
247	109	333
248	110	332
249	110	331
250	110	329
251	110	328
252	110	327
253	111	326
254	111	325
255	111	324
256	111	323
257	112	322
258	112	321
259	112	320
260	112	319
261	112	318
262	113	316
263	113	315
264	113	314
265	113	314
266	114	313
267	114	312
268	114	311
269	114	310
270	114	308
271	115	307
272	115	307
273	115	306
274	115	305
275	115	304
276	116	303
277	116	302
278	116	301
279	116	300
280	116	299
281	117	297
282	117	296
283	117	296
284	117	295
285	117	294
286	118	293
287	118	292
288	118	291
289	118	290
290	119	290
291	119	289
292	119	288
293	119	287
294	120	287
295	120	286
296	120	285
297	120	284
298	121	283
299	121	282
300	121	282
301	121	281
302	121	280
303	121	279
304	122	278
305	122	277
306	122	276
307	122	276
308	123	275
309	123	274
310	123	273
311	123	273
312	124	272
313	124	271
314	124	270
315	124	269
316	124	268
317	125	268
318	125	267
319	125	266
320	125	265
321	125	264
322	125	264
323	126	263
324	126	262
325	126	261
326	126	260
327	126	260
328	127	260
329	128	259
330	128	259
331	128	258
332	128	257
333	128	257
334	129	256
335	129	255
336	129	255
337	129	254
338	130	253
339	130	252
340	130	252
341	130	251
342	130	250
343	131	250
344	131	249
345	131	248
346	131	247
347	131	247
348	132	246
349	132	245
350	132	244
351	132	244
352	132	243
353	133	242
354	133	242
355	133	241
356	133	240
357	133	240
358	134	239
359	134	238
360	134	237
361	134	237
362	134	236
363	135	235
364	135	235
365	135	234
366	135	234
367	135	233
368	136	232
369	136	231
370	136	231
371	136	230
372	136	230
373	137	229
374	137	228
375	137	228
376	137	227
377	137	226
378	138	226
379	138	225
380	138	225
381	138	224
382	138	223
383	139	223
384	139	222
385	139	221
386	139	221
387	139	220
388	140	220
389	140	219
390	140	218
391	140	218
392	140	217
393	141	217
394	141	216
395	141	216
396	141	215
397	142	215
398	142	214
399	142	214
400	142	213
401	143	212
402	143	212
403	143	211
404	143	211
405	143	210
406	144	210
407	144	209
408	144	208
409	144	208
410	144	207
411	145	207
412	145	206
413	145	206
414	145	205
415	145	204
416	146	204
417	146	203
418	146	203
419	146	202
420	146	202
421	147	201
422	147	201
423	147	200
424	147	200
425	148	199
426	148	198
427	148	198
428	148	198
429	148	197
430	149	197
431	149	196
432	149	195
433	149	195
434	150	194
435	150	194
436	150	193
437	150	193
438	150	192
439	151	192
440	151	191
441	151	191
442	151	190
443	151	190
444	152	189
445	152	189
446	152	188
447	152	188
448	152	187
449	153	187
450	153	186
451	153	186
452	153	185
453	154	185
454	154	184
455	154	184
456	154	183
457	155	183
458	155	182
459	155	182
460	155	182
461	156	181
462	156	181
463	156	180
464	156	180
465	157	179
466	157	179
467	157	178
468	157	178
469	157	178
470	158	177
471	158	177
472	158	176
473	158	176
474	158	175
475	159	175
476	159	174
477	159	174
478	159	173
479	159	173
480	160	172
481	160	172
482	160	171
483	160	171
484	161	171
485	161	170
486	161	170
487	161	169
488	162	170
489	162	169
490	163	169
491	163	168
492	163	168
493	163	167
494	164	167
495	164	167
496	165	167
497	165	166
498	165	166
499	166	166
500	166	165
501	166	165
502	166	164
503	167	164
504	167	163
505	167	163
506	167	163
507	167	162
508	168	162
509	168	161
510	168	161
511	168	160
512	168	160
513	169	159
514	169	159
515	169	159
516	169	158
517	170	158
518	170	157
519	170	157
520	170	156
521	170	156
522	171	155
523	171	155
524	171	155
525	171	154
526	171	154
527	171	153
528	172	153
529	172	152
530	172	152
531	172	151
532	172	151
533	173	151
534	173	150
535	173	150
536	173	149
537	173	149
538	174	148
539	174	148
540	174	148
541	174	147
542	174	147
543	175	146
544	175	146
545	175	145
546	175	145
547	176	145
548	176	144
549	176	144
550	176	143
551	176	143
552	177	143
553	177	142
554	177	142
555	177	141
556	177	141
557	178	141
558	178	140
559	178	140
560	178	139
561	178	139
562	179	138
563	179	138
564	179	138
565	179	137
566	179	137
567	179	136
568	180	136
569	180	136
570	180	135
571	180	135
572	181	134
573	181	134
574	181	134
575	182	134
576	182	133
577	182	133
578	182	133
579	183	132
580	183	132
581	183	131
582	183	131
583	183	131
584	184	130
585	184	130
586	184	129
587	184	129
588	184	129
589	185	128
590	185	128
591	185	127
592	185	127
593	185	127
594	186	126
595	186	126
596	186	125
597	186	125
598	186	125
599	187	124
600	187	124
601	187	123
602	187	123
603	187	123
604	188	122
605	188	122
606	188	122
607	188	121
608	188	121
609	189	120
610	189	120
611	189	120
612	189	119
613	189	119
614	190	118
615	190	118
616	190	118
617	190	117
618	190	117
619	190	117
620	191	116
621	191	116
622	191	115
623	191	115
624	191	115
625	192	114
626	192	114
627	192	114
628	192	113
629	193	113
630	193	113
631	193	112
632	193	112
633	193	111
634	194	111
635	194	111
636	194	110
637	194	110
638	194	110
639	195	109
640	195	109
641	195	109
642	195	108
643	195	108
644	196	107
645	196	107
646	196	107
647	196	106
648	196	106
649	197	106
650	197	105
651	197	105
652	197	105
653	197	104
654	198	104
655	198	104
656	198	103
657	198	103
658	199	103
659	199	102
660	199	102
661	199	101
662	199	101
663	200	101
664	200	100
665	200	100
666	200	100
667	201	99
668	201	99
669	201	99
670	201	98
671	201	98
672	202	98
673	202	97
674	202	97
675	202	97
676	202	96
677	202	96
678	203	96
679	203	95
680	203	95
681	203	95
682	203	94
683	204	94
684	204	93
685	204	93
686	204	93
687	205	92
688	205	92
689	205	92
690	205	91
691	205	91
692	206	91
693	206	90
694	206	90
695	206	90
696	206	89
697	207	89
698	207	89
699	207	89
700	207	88
701	208	88
702	208	88
703	208	87
704	208	87
705	209	87
706	209	86
707	209	86
708	209	86
709	210	85
710	210	85
711	210	85
712	210	84
713	210	84
714	211	84
715	211	83
716	211	83
717	211	83
718	211	82
719	212	82
720	212	82
721	212	81
722	212	81
723	213	81
724	213	80
725	213	80
726	213	80
727	213	79
728	214	79
729	214	79
730	214	78
731	214	78
732	214	78
733	215	77
734	215	77
735	215	77
736	215	76
737	215	76
738	216	76
739	216	76
740	216	75
741	217	75
742	217	75
743	217	74
744	217	74
745	217	74
746	218	73
747	218	73
748	218	73
749	218	72
750	219	72
751	219	72
752	219	72
753	219	71
754	220	71
755	220	71
756	220	70
757	220	70
758	220	70
759	221	69
760	221	69
761	221	69
762	221	68
763	222	68
764	222	68
765	222	67
766	222	67
767	222	67
768	223	67
769	223	66
770	223	66
771	223	66
772	224	65
773	224	65
774	224	65
775	224	64
776	225	64
777	225	64
778	225	63
779	225	63
780	226	63
781	226	63
782	226	62
783	226	62
784	226	62
785	227	61
786	227	61
787	227	61
788	227	60
789	227	60
790	228	60
791	228	60
792	228	59
793	228	59
794	229	59
795	229	58
796	229	58
797	229	58
798	229	57
799	230	57
800	230	57
801	230	56
802	230	56
803	230	56
804	231	55
805	231	55
806	231	55
807	231	55
808	231	54
809	232	54
810	232	54
811	232	53
812	232	53
813	233	53
814	233	52
815	233	52
816	233	52
817	233	52
818	234	51
819	234	51
820	234	51
821	234	50
822	234	50
823	235	50
824	235	49
825	235	49
826	235	49
827	235	48
828	236	48
829	236	48
830	236	48
831	236	47
832	236	47
833	237	47
834	237	46
835	237	46
836	237	46
837	237	45
838	238	45
839	238	45
840	238	45
841	238	44
842	239	44
843	239	44
844	239	43
845	240	43
846	240	43
847	240	43
848	240	42
849	241	42
850	241	42
851	241	41
852	241	41
853	241	41
854	242	41
855	242	40
856	242	40
857	242	40
858	242	39
859	243	39
860	243	39
861	243	38
862	243	38
863	243	38
864	244	38
865	244	37
866	244	37
867	244	37
868	245	36
869	245	36
870	245	36
871	245	36
872	246	35
873	246	35
874	246	35
875	246	34
876	246	34
877	247	34
878	247	34
879	247	33
880	247	33
881	247	33
882	248	32
883	248	32
884	248	32
885	248	31
886	248	31
887	249	31
888	249	31
889	249	30
890	249	30
891	249	30
892	250	29
893	250	29
894	250	29
895	250	29
896	250	28
897	251	28
898	251	28
899	251	27
900	251	27
901	251	27
902	252	27
903	252	26
904	252	26
905	252	26
906	252	25
907	253	25
908	253	25
909	253	25
910	253	24
911	253	24
912	254	24
913	254	23
914	254	23
915	255	23
916	255	23
917	255	22
918	255	22
919	255	22
920	256	21
921	256	21
922	256	21
923	256	21
924	257	20
925	257	20
926	257	20
927	257	19
928	257	19
929	257	19
930	258	19
931	258	18
932	258	18
933	258	18
934	258	18
935	259	17
936	259	17
937	259	17
938	259	16
939	260	16
940	260	16
941	260	16
942	260	15
943	261	15
944	261	15
945	261	14
946	261	14
947	261	14
948	262	14
949	262	13
950	262	13
951	262	13
952	262	12
953	263	12
954	263	12
955	264	12
956	264	11
957	264	11
958	264	11
959	265	11
960	265	10
961	265	10
962	265	10
963	265	9
964	266	9
965	266	9
966	266	9
967	266	8
968	266	8
969	267	8
970	267	7
971	267	7
972	267	7
973	267	7
974	268	6
975	268	6
976	268	6
977	268	6
978	269	5
979	269	5
980	269	5
981	269	4
982	270	4
983	270	4
984	270	4
985	270	3
986	271	3
987	271	3
988	271	3
989	271	2
990	271	2
991	272	2
992	272	1
993	272	1
994	272	1
995	272	1
996	273	0
997	273	0
998	273	0
999	273	0
